define the function _split_statements with an argument content.,def _split_statements ( content ) :
"call the function re.compile with an argument raw string ""^((?:'[^']*'|[^'])*?)--.*$"", substitute the result for comment_re.","comment_re = re . compile ( r""^((?:'[^']*'|[^'])*?)--.*$"" )"
statements is an empty list.,statements = [ ]
statement is an empty list.,statement = [ ]
"split content by newline character, for every line in result,","for line in content . split ( ""\n"" ) :"
"call the method comment_re.sub with an arguments: raw string '\1' and line, strip the whitespaces surrounding the result, return it.","cleaned_line = comment_re . sub ( r""\1"" , line ) . strip ( )"
"if cleaned_line is false,",if not cleaned_line :
"skip this loop iteration,",continue
append cleaned_lien to statement.,statement . append ( cleaned_line )
"if cleaned_line ends with ';' character,","if cleaned_line . endswith ( "";"" ) :"
"join statements into a string, separated by white spaces, append it to statements.","statements . append ( "" "" . join ( statement ) )"
statement is an empty list.,statement = [ ]
return statements.,return statements
"define the function custom_sql_for_model with 3 arguments: app_config, style and connection.","def custom_sql_for_model ( model , style , connection ) :"
substitute model._meta for opts.,opts = model . _meta
app_dirs is an empty list.,app_dirs = [ ]
"call the method apps.get_app_config with an argument model._met.app_label, substitute path field of the result for app_dir.",app_dir = apps . get_app_config ( model . _meta . app_label ) . path
"join app_dir and string 'sql' into a file path, use the result as an argument for the call to the function os.path.normpath,","app_dirs . append ( os . path . normpath ( os . path . join ( app_dir , 'sql' ) ) )"
"append the result to app_dirs. join app_dir and string 'models/sql' into a file path, use the result as an argument for the call to the function os.path.normpath,","old_app_dir = os . path . normpath ( os . path . join ( app_dir , 'models/sql' ) )"
"append the result to old_app_dirs. if file path old_app_dir exists,",if os . path . exists ( old_app_dir ) :
"call the function warnings.warn with 2 arguments: string ""Custom SQL location '<app_label>/models/sql' is deprecated, use '<app_label>/sql' instead."" and RemovedInDjango19Warning.","warnings . warn ( ""Custom SQL location '<app_label>/models/sql' is "" ""deprecated, use '<app_label>/sql' instead."" , RemovedInDjango19Warning )"
append old_app_dir to app_dirs.,app_dirs . append ( old_app_dir )
output is an empty list.,output = [ ]
"if opts.managed is true,",if opts . managed :
"for every f in opts.local_fields that has an 'post_create_sql' attribute, append f to a list, substitute the resulting list for post_sql_fields.","post_sql_fields = [ f for f in opts . local_fields if hasattr ( f , 'post_create_sql' ) ]"
"for every f in post_sql_fields,",for f in post_sql_fields :
"call the method f.post_create_sql with arguments: style and model._meta.db_table, extend the output with the result.","output . extend ( f . post_create_sql ( style , model . _meta . db_table ) )"
